Instance;Vertex;Edge;k;Fascia;b;Primal;Dual;Gap;Time;Status
myciel4;23;71;4;Small;6;10;10.00;0.00;0.21;Optimal
myciel4;23;71;8;Small;3;11;11.00;0.00;0.10;Optimal
myciel4;23;71;12;Small;2;12;12.00;0.00;0.04;Optimal
queen5_5;25;160;4;Small;7;16;16.00;0.00;503.90;Optimal
queen5_5;25;160;8;Small;4;17;17.00;0.00;0.26;Optimal
queen5_5;25;160;12;Small;3;19;19.00;0.00;0.23;Optimal
queen6_6;36;290;4;Small;9;25;16.66;50.07;1799.45;Feasible
queen6_6;36;290;8;Small;5;26;26.00;0.00;364.65;Optimal
queen6_6;36;290;12;Small;3;28;28.00;0.00;1.63;Optimal
myciel5;47;236;4;Small;12;19;19.00;0.00;116.13;Optimal
myciel5;47;236;8;Small;6;20;20.00;0.00;0.48;Optimal
myciel5;47;236;12;Small;4;22;22.00;0.00;0.24;Optimal
queen7_7;49;476;4;Small;13;35;18.23;92.02;1799.69;Feasible
queen7_7;49;476;8;Small;7;36;27.15;32.61;1799.82;Feasible
queen7_7;49;476;12;Small;5;38;31.85;19.30;1799.82;Feasible
queen8_8;64;728;4;Small;16;47;21.86;114.96;1799.82;Feasible
queen8_8;64;728;8;Small;8;48;33.82;41.93;1799.82;Feasible
queen8_8;64;728;12;Small;6;50;38.43;30.10;1799.45;Feasible
huck;74;301;4;Small;19;5;5.00;0.00;0.05;Optimal
huck;74;301;8;Small;10;11;11.00;0.00;0.02;Optimal
huck;74;301;12;Small;7;16;16.00;0.00;0.02;Optimal
jean;80;254;4;Small;20;7;7.00;0.00;0.05;Optimal
jean;80;254;8;Small;10;11;11.00;0.00;0.08;Optimal
jean;80;254;12;Small;7;14;14.00;0.00;0.03;Optimal
queen9_9;81;1056;4;Small;21;59;25.80;128.73;1799.81;Feasible
queen9_9;81;1056;8;Small;11;62;37.63;64.77;1799.82;Feasible
queen9_9;81;1056;12;Small;7;66;46.81;41.00;1799.48;Feasible
david;87;406;4;Small;22;13;13.00;0.00;0.17;Optimal
david;87;406;8;Small;11;16;16.00;0.00;0.25;Optimal
david;87;406;12;Small;8;19;19.00;0.00;0.18;Optimal
myciel6;95;755;4;Small;24;38;28.62;32.79;1799.82;Feasible
myciel6;95;755;8;Small;12;35;35.00;0.00;32.03;Optimal
myciel6;95;755;12;Small;8;42;39.84;5.42;1799.80;Feasible
queen8_12;96;1368;4;Small;24;72;29.79;141.72;1799.82;Feasible
queen8_12;96;1368;8;Small;12;75;43.99;70.50;1799.82;Feasible
queen8_12;96;1368;12;Small;8;79;53.59;47.42;1799.82;Feasible
queen10_10;100;1470;4;Small;25;75;30.45;146.34;1799.82;Feasible
queen10_10;100;1470;8;Small;13;81;44.12;83.59;1799.84;Feasible
queen10_10;100;1470;12;Small;9;82;53.47;53.36;1799.77;Feasible
games120;120;638;4;Small;30;46;23.01;99.92;1367.75;Feasible
games120;120;638;8;Small;15;57;28.09;102.92;1342.08;Feasible
games120;120;638;12;Small;10;58;30.16;92.28;1799.82;Feasible
queen11_11;121;1980;4;Small;31;90;35.77;151.63;1799.82;Feasible
queen11_11;121;1980;8;Small;16;101;49.02;106.04;1799.82;Feasible
queen11_11;121;1980;12;Small;11;99;60.94;62.46;1799.82;Feasible
miles1000;128;3216;4;Small;32;54;51.22;5.44;1799.82;Feasible
miles1500;128;5198;4;Small;32;64;64.00;0.00;0.70;Optimal
miles250;128;387;4;Small;32;8;8.00;0.00;0.23;Optimal
miles500;128;1170;4;Small;32;29;22.44;29.24;1799.83;Feasible
miles750;128;2113;4;Small;32;38;38.00;0.00;1601.24;Optimal
miles1000;128;3216;8;Small;16;76;73.72;3.09;1799.75;Feasible
miles1500;128;5198;8;Small;16;91;91.00;0.00;1.96;Optimal
miles250;128;387;8;Small;16;13;13.00;0.00;2.02;Optimal
miles500;128;1170;8;Small;16;46;36.55;25.85;1799.82;Feasible
miles750;128;2113;8;Small;16;63;56.15;12.20;1799.44;Feasible
miles1000;128;3216;12;Small;11;85;85.00;0.00;66.69;Optimal
miles1500;128;5198;12;Small;11;99;99.00;0.00;0.77;Optimal
miles250;128;387;12;Small;11;22;22.00;0.00;190.17;Optimal
miles500;128;1170;12;Small;11;52;46.60;11.59;1799.49;Feasible
miles750;128;2113;12;Small;11;69;69.00;0.00;86.67;Optimal
anna;138;493;4;Small;35;13;13.00;0.00;0.22;Optimal
anna;138;493;8;Small;18;15;15.00;0.00;0.37;Optimal
anna;138;493;12;Small;12;16;16.00;0.00;0.46;Optimal
queen12_12;144;2596;4;Small;36;108;41.40;160.86;1799.82;Feasible
queen12_12;144;2596;8;Small;18;121;56.98;112.37;1799.83;Feasible
queen12_12;144;2596;12;Small;12;120;73.04;64.30;1799.49;Feasible
queen13_13;169;3328;4;Small;43;126;48.42;160.23;1799.49;Feasible
queen13_13;169;3328;8;Small;22;145;61.34;136.38;1799.82;Feasible
queen13_13;169;3328;12;Small;15;144;78.23;84.07;1799.82;Feasible
mulsol.i.3;184;3916;4;Small;46;39;39.00;0.00;0.07;Optimal
mulsol.i.3;184;3916;8;Small;23;55;55.00;0.00;0.23;Optimal
mulsol.i.3;184;3916;12;Small;16;55;55.00;0.00;0.17;Optimal
mulsol.i.4;185;3946;4;Small;47;38;38.00;0.00;0.07;Optimal
mulsol.i.4;185;3946;8;Small;24;55;55.00;0.00;0.17;Optimal
mulsol.i.4;185;3946;12;Small;16;55;55.00;0.00;0.21;Optimal
mulsol.i.5;186;3973;4;Small;47;38;38.00;0.00;0.07;Optimal
mulsol.i.5;186;3973;8;Small;24;55;55.00;0.00;0.18;Optimal
mulsol.i.5;186;3973;12;Small;16;55;55.00;0.00;0.16;Optimal
mulsol.i.2;188;3885;4;Small;47;38;38.00;0.00;0.14;Optimal
mulsol.i.2;188;3885;8;Small;24;54;54.00;0.00;0.15;Optimal
mulsol.i.2;188;3885;12;Small;16;55;55.00;0.00;0.23;Optimal
myciel7;191;2360;4;Small;48;75;41.25;81.80;1444.01;Feasible
myciel7;191;2360;8;Small;24;65;54.87;18.47;1799.83;Feasible
myciel7;191;2360;12;Small;16;84;60.14;39.67;1323.03;Feasible
queen14_14;196;4186;4;Small;49;147;55.24;166.12;1799.83;Feasible
queen14_14;196;4186;8;Small;25;170;67.49;151.89;1799.83;Feasible
queen14_14;196;4186;12;Small;17;172;89.85;91.43;1799.82;Feasible
mulsol.i.1;197;3925;4;Small;50;38;38.00;0.00;0.46;Optimal
mulsol.i.1;197;3925;8;Small;25;69;69.00;0.00;0.34;Optimal
mulsol.i.1;197;3925;12;Small;17;74;74.00;0.00;0.27;Optimal
zeroin.i.3;206;3540;4;Small;52;28;28.00;0.00;0.31;Optimal
zeroin.i.3;206;3540;8;Small;26;38;38.00;0.00;0.65;Optimal
zeroin.i.3;206;3540;12;Small;18;42;42.00;0.00;0.55;Optimal
zeroin.i.1;211;4100;4;Small;53;43;43.00;0.00;0.72;Optimal
zeroin.i.2;211;3541;4;Small;53;28;28.00;0.00;0.22;Optimal
zeroin.i.1;211;4100;8;Small;27;49;49.00;0.00;0.49;Optimal
zeroin.i.2;211;3541;8;Small;27;38;38.00;0.00;0.65;Optimal
zeroin.i.1;211;4100;12;Small;18;57;57.00;0.00;0.83;Optimal
zeroin.i.2;211;3541;12;Small;18;42;42.00;0.00;0.86;Optimal
queen15_15;225;5180;4;Small;57;168;61.97;171.09;1799.70;Feasible
queen15_15;225;5180;8;Small;29;195;72.37;169.44;1799.83;Feasible
queen15_15;225;5180;12;Small;19;199;98.19;102.67;1799.84;Feasible
queen16_16;256;6320;4;Small;64;192;70.52;172.27;1799.83;Feasible
queen16_16;256;6320;8;Small;32;224;80.74;177.44;1799.84;Feasible
queen16_16;256;6320;12;Small;22;232;109.17;112.51;1799.82;Feasible
school1_nsh;352;14612;4;Small;88;245;84.73;189.16;1799.83;Feasible
school1_nsh;352;14612;8;Small;44;303;118.10;156.57;1799.71;Feasible
school1_nsh;352;14612;12;Small;30;269;139.37;93.01;1799.83;Feasible
school1;385;19095;4;Small;97;267;100.94;164.51;1799.71;Feasible
school1;385;19095;8;Small;49;311;124.84;149.12;1799.83;Feasible
school1;385;19095;12;Small;33;292;153.36;90.41;1799.73;Feasible
fpsol2.i.3;425;8688;4;Small;107;29;29.00;0.00;1.76;Optimal
fpsol2.i.3;425;8688;8;Small;54;36;36.00;0.00;1.86;Optimal
fpsol2.i.3;425;8688;12;Small;36;47;47.00;0.00;1.47;Optimal
fpsol2.i.2;451;8691;4;Small;113;29;29.00;0.00;2.71;Optimal
fpsol2.i.2;451;8691;8;Small;57;34;34.00;0.00;1.15;Optimal
fpsol2.i.2;451;8691;12;Small;38;44;44.00;0.00;1.60;Optimal
fpsol2.i.1;496;11654;4;Small;124;51;51.00;0.00;3.21;Optimal
fpsol2.i.1;496;11654;8;Small;62;57;57.00;0.00;3.08;Optimal
